text_content,text_source,text_type
"| Catégorie           |   Budget Alloué (en €) |   Dépenses Réelles (en €) |   Solde (en €) |
|---------------------|------------------------|---------------------------|----------------|
| Administration      |                 500000 |                    480000 |          20000 |
| Voirie              |                 750000 |                    700000 |          50000 |
| Services Techniques |                 600000 |                    550000 |          50000 |
| Éducation           |                1000000 |                    900000 |         100000 |
| Culture             |                 400000 |                    350000 |          50000 |
| Sécurité            |                 300000 |                    280000 |          20000 |
| Divers              |                 200000 |                    150000 |          50000 |
| Total               |                3750000 |                   3410000 |         340000 |",../inputs\budget\budget_2024.csv,.csv
"## Mairie de Triffouillis sur Loire Avis d'Information et Horaires d'Ouverture

## I. Message d'Accueil

## Chers

<!-- image -->

concitoyens,

Nous avons le plaisir de vous accueillir sous l'égide de la bonne humeur et du sérieux nécessaire à l'exercice de nos fonctions. La Mairie de Triffouillis sur Loire vous invite à consulter les informations ci-après afin de mieux connaître nos services et modalités de fonctionnement.

Nous vous présentons, en tête d'affiche, notre maire officieux et attachant : Madame Pétillante Rigolade , qui, avec un sourire communicatif, veille à la bonne marche de notre commune. Son engagement, conjugué à l'expertise de nos équipes, vous assure une prise en charge rapide et efficace de vos demandes.

## II. Horaires d'Ouverture et Contacts

Afin de vous servir au mieux, notre mairie est ouverte selon des horaires fixes, adaptés aux besoins de chacun. Vous trouverez ci-dessous un tableau récapitulatif des horaires de nos services. Pour toute information complémentaire, n'hésitez pas à nous contacter au 01 23 45 67 89 .

| Service                   | Lundi                      | Mardi                      | Mercredi               | Jeudi                          | Vendredi               | Samedi       | Dimanche   |
|---------------------------|----------------------------|----------------------------|------------------------|--------------------------------|------------------------|--------------|------------|
| Accueil et Administration | 8h30 - 12h00               | 8h30 12h00                 | - 8h30 12h00           | - 8h30 - 12h00                 | 8h30 12h00             | - Fermé      | Fermé      |
| Services Techniques       | 8h30 - 12h00 13h30 - 16h30 | 8h30 - 12h00 13h30 - 16h30 | 8h30 12h00 13h30 16h30 | - - 8h30 - 12h00 13h30 - 16h30 | 8h30 12h00 13h30 16h30 | - - Fermé    | Fermé      |
| Ramassage des Ordures     | 7h00 - 10h00               | 7h00 - 10h00               | 7h00 10h00             | - 7h00 - 10h00                 | 7h00 10h00             | - 8h00 11h00 | - Fermé    |

Remarque : Les horaires sont susceptibles d'être modifiés en cas de fêtes locales ou d'évènements exceptionnels. Pensez à consulter notre site internet ou à nous appeler pour confirmation.

## III. Organisation et Coordination des Services

## 1. Accueil et Administration

Notre  service  d'accueil  est  conçu  pour  offrir  aux  administrés  un  interlocuteur  unique capable de répondre à leurs questions relatives aux démarches administratives, à l'état civil, et aux diverses formalités nécessaires. Les agents municipaux, formés et souriants, vous accompagnent avec rigueur et bienveillance.

## 2. Équipes Techniques et Voirie

Les équipes techniques de la mairie, dirigées par le Chef de Service de la Voirie, assurent l'entretien  des  voies  publiques,  le  suivi  des  travaux  de  réfection  et  le  maintien  d'un environnement  urbain  sécuritaire.  Grâce  à  leur  intervention  régulière,  les  rues  de Triffouillis sur Loire bénéficient d'un entretien exemplaire, garantissant fluidité et sécurité pour tous les usagers.

## · Missions principales :

- o Entretien quotidien des trottoirs et voiries.
- o Gestion des petits travaux d'urbanisme et de réparation.
- o Coordination avec les services d'urbanisme pour les projets d'aménagement.

## 3. Service de Ramassage des Ordures

Le service de ramassage des ordures, géré en collaboration avec nos prestataires locaux, est  assuré  dans  le  strict  respect  des  normes  environnementales  et  de  propreté.  Ce service s'appuie sur des équipes dynamiques et formées aux gestes écologiques pour optimiser la collecte et le traitement des déchets.

## · Points forts :

- o Une collecte organisée sur un calendrier précis.
- o La mise à disposition de bacs adaptés à chaque type de déchet.
- o Un suivi rigoureux pour garantir l'hygiène et la salubrité publique.

## IV. Dispositions Diverses et Conseils Pratiques

## · Sécurité

et

Propreté

:

La mairie rappelle à tous l'importance de respecter les consignes de sécurité et d'hygiène. Nos équipes veillent à la propreté des espaces publics et se tiennent à votre disposition pour signaler tout dysfonctionnement ou anomalie.

<!-- image -->

## · Accessibilité

<!-- image -->

Dans une démarche inclusive, la mairie met un point d'honneur à faciliter l'accès de ses services à toutes les personnes, notamment via l'installation de dispositifs adaptés aux personnes à mobilité réduite.

## · Communication et Transparence

Afin  de  maintenir  une  transparence  totale  sur  nos  activités,  des  réunions publiques sont régulièrement organisées. Les dates et lieux de  ces  rencontres sont  affichés  sur  le  panneau  d'information  municipal  ainsi  que  sur  notre  site officiel.

## · Participation Citoyenne

La Mairie de Triffouillis sur Loire encourage la participation active des citoyens. Vos suggestions, idées et remarques sont les bienvenues afin d'améliorer en continu nos services. Un formulaire de contact est disponible au service d'accueil et sur le site internet.

La Mairie de Triffouillis sur Loire, sous la direction joviale de Madame Pétillante Rigolade, s'engage à fournir un service public de qualité, fondé sur l'écoute, l'efficacité et la bonne humeur. Nous vous invitons à consulter régulièrement nos horaires d'ouverture et à nous contacter  pour  toute  question  ou  demande  d'assistance.  Votre  participation  active contribue à la vie et au dynamisme de notre commune.

Pour toute information supplémentaire ou pour déposer une suggestion, n'hésitez pas à joindre notre service d'accueil au 01 23 45 67 89 ou à visiter notre site internet.

## Fait à Triffo uillis sur Loire, Le Conseil Municipal

Ce  document  est  affiché  pour  la  bonne  information  de  tous  les  administrés  et  reste affiché pendant toute la durée des horaires indiqués ci-dessus.

Document factice - Version 1.0 - Révisé le 04-02-2025",../inputs\communication\Acceuil_affichage_Mairie de Triffouillis sur Loire.pdf,.pdf
<!-- image -->,../inputs\communication\logo_triffouillis.webp,.webp
"**1. Demande d'information sur l'entretien de la voirie** Madame, Monsieur,

Je me permets de vous écrire afin d’obtenir des renseignements détaillés sur l’entretien de la voirie dans notre quartier, notamment en ce qui concerne les horaires de passage des équipes techniques et les modalités de ramassage des ordures.
Je souhaite mieux comprendre le planning d’intervention et les éventuelles perturbations prévues dans la semaine à venir. Pourriez-vous, s’il vous plaît, me communiquer ces informations ou m’indiquer où je pourrais les consulter ?

Dans l’attente de votre réponse, je vous remercie par avance pour votre aide et votre disponibilité.

Cordialement,
Jean Jean",../inputs\demandes citoyennes\Demande d'information sur l'entretien de la voirie.docx,.docx
"Demande de participation à la réunion municipale sur la revitalisation du centre-ville

Madame, Monsieur,

En tant que concitoyen(ne) impliqué(e) dans la vie de notre commune, je souhaite vivement participer à la prochaine réunion municipale consacrée au projet de revitalisation du centre-ville.
Je vous saurais gré de bien vouloir m’informer des modalités d’inscription, de la date et du lieu de cette rencontre, afin de pouvoir contribuer activement aux discussions et apporter mes idées.

Je vous remercie pour l’attention portée à ma demande et vous prie d’agréer, Madame, Monsieur, l’expression de mes salutations distinguées.

Jean Michmuch",../inputs\demandes citoyennes\Demande de participation à la réunion municipale sur la revitalisation du centre-ville.docx,.docx
"**2. Signalement et demande d'intervention pour un éclairage public défectueux** Madame, Monsieur,

Je vous contacte pour signaler un dysfonctionnement constaté au niveau de l’éclairage public situé au coin de la rue des Érables et de l’avenue du Centre. Ce problème nuit à la sécurité des habitants et des passants, surtout en soirée.
Je sollicite ainsi l’intervention d’une équipe technique pour une réparation dans les meilleurs délais.
Je vous remercie pour votre réactivité et reste à votre disposition pour tout complément d’information.

Bien cordialement,
Val Jean",../inputs\demandes citoyennes\Signalement et demande d'intervention pour un éclairage public défectueux.docx,.docx
"**Festival des Rires et des Blagues**

**Date :** 10 février 2024 **Lieu :** Parc de la Bonne Humeur, Triffouillis-sur-Loire

**Exposants :**

- **Les Clowns du Coin** – Troupe de clowns et humoristes locaux
- **La Boîte à Rires** – Stand interactif de blagues et devinettes
- **Impro Burlesque** – Compagnie d’improvisation théâtrale

**Activités prévues :**

- Spectacles de rue et scènes d’improvisation comique
- Concours de blagues avec récompenses humoristiques
- Ateliers de clown et initiation à l’art du slapstick
- Distribution de confiseries et goodies rigolos
- Espace photo déguisé pour immortaliser des moments hilarants",../inputs\evenements\Festival des Rires et des Blagues.docx,.docx
"Fête des Saveurs Insolites

Date : 5 avril 2024
Lieu : Jardin des Délices, Triffouillis-sur-Loire

Exposants :

- Epicurieux – Stand de mets fusion surprenants
- Les Papilles en Folie – Dégustation de plats et recettes inventives
- Bulle de Goût – Atelier de création de boissons originales et cocktails sans alcool

Activités prévues :

- Dégustations et démonstrations culinaires en live
- Ateliers de mixologie et créations de recettes insolites
- Animations ludiques avec quiz gastronomique et concours de cuisine
- Stands interactifs où les visiteurs créent leur propre plat à partir d’ingrédients mystères
- Rencontre avec des chefs locaux et discussions sur l’innovation culinaire",../inputs\evenements\Fête des Saveurs Insolites.docx,.docx
"**Journée de l’Insolence Créative**

**Date :** 18 mai 2024 **Lieu :** Esplanade de la Créativité, Triffouillis-sur-Loire

**Exposants :**

- **Les Artisans Déjantés** – Créations d’objets design et humoristiques
- **Innova’Folie** – Exposition d’inventions décalées et prototypes farfelus
- **Créa’Tonic** – Stand de designers et artistes en herbe

**Activités prévues :**

- Expositions d’art et d’objets insolites accompagnées d’explications ludiques
- Ateliers de création collaborative où chacun peut proposer son idée décalée
- Concours du projet le plus original avec vote du public et remise de prix fantaisistes
- Performances de danse, théâtre et musique décalée sur scène ouverte
- Espaces interactifs pour tester des innovations techniques et artistiques",../inputs\evenements\Journée de l’Insolence Créative.docx,.docx
"Le Carnaval des Objets Oubliés

Date : 15 janvier 2024
Lieu : Centre Culturel de Triffouillis-sur-Loire

Exposants :

- Les Trésors du Grenier – Exposition d’objets vintage et insolites
- Le Comptoir des Curiosités – Vente de bibelots surprenants
- Objets Insolites &amp; Co. – Créations artisanales hors du commun

Activités prévues :

- Parcours interactif à travers des installations originales
- Ateliers de recyclage créatif et création d’objets personnalisés
- Stands de restauration proposant des encas réinventés (chips de légumes, smoothies inattendus)
- Animations pour petits et grands avec spectacles de marionnettes et magie légère",../inputs\evenements\Le Carnaval des Objets Oubliés.docx,.docx
